user_id,username,password,category,length,entropy
86,martintodd,Mountain-River-Sky-92,strong,21,14.635330912608127
87,campbellmegan,correct-horse-battery-staple,passphrase,28,20.330032012866745
88,brianreynolds,rg^p>=glJDnYgHI\,random,16,16.0
89,george01,CyberDefense#2026,strong,17,12.72541311582026
90,greenraymond,"ks~=j""4g?Xs;D[~Z",random,16,16.0
91,glenedwards,F`7p;y3\VV<??^$6,random,16,16.0
92,iwebster,qwerty123,weak,9,2.342422680822206
93,hhughes,"5oD$W\\Y*{p%""f2D",random,16,16.0
94,duaneenglish,correct-horse-battery-staple,passphrase,28,20.330032012866745
95,burgessrobert,password123,weak,11,2.775246259740236
96,petersondavid,Mountain-River-Sky-92,strong,21,14.635330912608127
97,elijahhayes,CyberDefense#2026,strong,17,12.72541311582026
98,greenestephanie,CyberDefense#2026,strong,17,12.72541311582026
99,butlerann,password123,weak,11,2.775246259740236
100,jamesbrown,correct-horse-battery-staple,passphrase,28,20.330032012866745
101,jennifermcdaniel,b-eg-#lE>)eQ>l'Y,random,16,16.0
102,timothy45,admin123,weak,8,3.8599784416420206
103,yowens,admin123,weak,8,3.8599784416420206
104,grobinson,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
105,fowlercarrie,password,weak,8,0.47712125471966244
106,cgonzalez,Coffee#99,medium,9,5.7795964912578235
107,xdunlap,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
108,melissa15,Bhutan@123,medium,10,8.153364183393595
109,joannahernandez,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
110,vgordon,password123,weak,11,2.775246259740236
111,colejason,password,weak,8,0.47712125471966244
112,vshelton,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
113,diane08,CyberDefense#2026,strong,17,12.72541311582026
114,gcraig,"+Ns>x_p""5RD_3!T_",random,16,16.0
115,gramos,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
116,ramosjoshua,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
117,amygarza,Mountain-River-Sky-92,strong,21,14.635330912608127
118,samuelgarcia,P&bQH.;Nmdh$/h{],random,16,16.0
119,morgantorres,correct-horse-battery-staple,passphrase,28,20.330032012866745
120,margaret40,PurpleTiger!482,strong,15,9.839100782707153
121,pharris,correct-horse-battery-staple,passphrase,28,20.330032012866745
122,kristin15,Denyel2005!,medium,11,9.531478917042254
123,tmorrison,Coffee#99,medium,9,5.7795964912578235
124,janice75,MPXN;>Bt]etUpF7^,random,16,16.0
125,gking,Bhutan@123,medium,10,8.153364183393595
126,teresa89,Summer2026!,medium,11,7.441066406639263
127,maddenbrian,football2025,weak,12,5.352825441221973
128,steven83,Bhutan@123,medium,10,8.153364183393595
129,paustin,PurpleTiger!482,strong,15,9.839100782707153
130,kimberlyrowe,zJIGXUef(j?|#Ek~,random,16,16.0
131,ulopez,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
132,whitneyfisher,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
133,mcneiladam,admin123,weak,8,3.8599784416420206
134,pbrown,Denyel2005!,medium,11,9.531478917042254
135,oconway,[m86ba>_/wrA5`l6,random,16,16.0
136,nicole87,PurpleTiger!482,strong,15,9.839100782707153
137,patricia92,Bhutan@123,medium,10,8.153364183393595
138,fmcclain,Mountain-River-Sky-92,strong,21,14.635330912608127
139,jacobcardenas,:PDE&P4!-f:WRinV,random,16,16.0
140,andreapark,correct-horse-battery-staple,passphrase,28,20.330032012866745
141,courtneymoore,"mQyE:6sC%5jd2w?""",random,16,16.0
142,ilee,password123,weak,11,2.775246259740236
143,rebeccaanderson,password123,weak,11,2.775246259740236
144,cassandrapaul,Mountain-River-Sky-92,strong,21,14.635330912608127
145,millsjeffrey,Bhutan@123,medium,10,8.153364183393595
146,danielle87,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
147,rwilliams,PurpleTiger!482,strong,15,9.839100782707153
148,fitzgeralddavid,qwerty123,weak,9,2.342422680822206
149,simpsonjuan,Df}W#7/YSaTmM^aU,random,16,16.0
150,stephen97,Coffee#99,medium,9,5.7795964912578235
151,philippatterson,b|=gF{\dD:$_q-mI,random,16,16.0
152,muellerrobert,Denyel2005!,medium,11,9.531478917042254
153,eric11,PurpleTiger!482,strong,15,9.839100782707153
154,gmiller,Bhutan@123,medium,10,8.153364183393595
155,randerson,Denyel2005!,medium,11,9.531478917042254
156,rebeccalarsen,/uz8#v%<BS={hjQB,random,16,16.0
157,lrandolph,123456,weak,6,0.30102999566398114
158,patricia34,admin123,weak,8,3.8599784416420206
159,jamesdonna,hBnCqA<!Ln$wnp/D,random,16,16.0
160,erik05,correct-horse-battery-staple,passphrase,28,20.330032012866745
161,cassieparker,PurpleTiger!482,strong,15,9.839100782707153
162,samanthafoster,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
163,michaelcuevas,Coffee#99,medium,9,5.7795964912578235
164,samuelmorales,CyberDefense#2026,strong,17,12.72541311582026
165,abbottdavid,admin123,weak,8,3.8599784416420206
166,crystal06,Mountain-River-Sky-92,strong,21,14.635330912608127
167,othompson,football2025,weak,12,5.352825441221973
168,brett84,Mountain-River-Sky-92,strong,21,14.635330912608127
169,ronaldturner,correct-horse-battery-staple,passphrase,28,20.330032012866745
170,patrickwilliam,qwerty123,weak,9,2.342422680822206
171,hawkinskathy,Coffee#99,medium,9,5.7795964912578235
172,scottelliott,"Ps""#>_%B''~M],6n",random,16,16.0
173,haysanita,Denyel2005!,medium,11,9.531478917042254
174,jennifer91,Denyel2005!,medium,11,9.531478917042254
175,asanchez,Coffee#99,medium,9,5.7795964912578235
176,lancegraves,qwerty123,weak,9,2.342422680822206
177,marshstephanie,admin123,weak,8,3.8599784416420206
178,joshua93,123456,weak,6,0.30102999566398114
179,becky36,Mountain-River-Sky-92,strong,21,14.635330912608127
180,webbapril,CyberDefense#2026,strong,17,12.72541311582026
181,sarahbowman,PurpleTiger!482,strong,15,9.839100782707153
182,terrellmegan,Bhutan@123,medium,10,8.153364183393595
183,michael71,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
184,jeffreyperez,rE~s^uy-\?ZSXd<O,random,16,16.0
185,iwalker,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
186,brownjodi,correct-horse-battery-staple,passphrase,28,20.330032012866745
187,abbottmercedes,CyberDefense#2026,strong,17,12.72541311582026
188,navarrostephen,admin123,weak,8,3.8599784416420206
189,kellyrussell,(<Pttevcx~'UI'B\,random,16,16.0
190,petersonbonnie,correct-horse-battery-staple,passphrase,28,20.330032012866745
191,mchang,nq6%t/PHJH648?9g,random,16,16.0
192,lreyes,Denyel2005!,medium,11,9.531478917042254
193,robinsonjason,password123,weak,11,2.775246259740236
194,james05,Bhutan@123,medium,10,8.153364183393595
195,emily48,Summer2026!,medium,11,7.441066406639263
196,ajensen,"D[f,$F%J5j#naJBk",random,16,16.0
197,jasondavis,Mountain-River-Sky-92,strong,21,14.635330912608127
198,vharrington,Ak6FbV)y(g+rohCa,random,16,16.0
199,ssmith,#4V%}+`Xu*uA_xZI,random,16,16.0
200,brandongonzalez,CyberDefense#2026,strong,17,12.72541311582026
201,curtisromero,correct-horse-battery-staple,passphrase,28,20.330032012866745
202,kurt12,Mountain-River-Sky-92,strong,21,14.635330912608127
203,dawnmeyers,qwerty123,weak,9,2.342422680822206
204,pbeck,PurpleTiger!482,strong,15,9.839100782707153
205,hannah00,123456,weak,6,0.30102999566398114
206,aclarke,correct-horse-battery-staple,passphrase,28,20.330032012866745
207,dpatel,Summer2026!,medium,11,7.441066406639263
208,taylortara,"`kn,k""zAPJ8?4@P:",random,16,16.0
209,robert07,Denyel2005!,medium,11,9.531478917042254
210,riosbrandon,Mountain-River-Sky-92,strong,21,14.635330912608127
211,jacob51,Denyel2005!,medium,11,9.531478917042254
212,danielbrenda,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
213,warrenbrenda,admin123,weak,8,3.8599784416420206
214,dustin99,~0.y_KpoRJyPH)3#,random,16,16.0
215,briananderson,correct-horse-battery-staple,passphrase,28,20.330032012866745
216,david36,Summer2026!,medium,11,7.441066406639263
217,john09,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
218,rhall,Summer2026!,medium,11,7.441066406639263
219,eric92,Mountain-River-Sky-92,strong,21,14.635330912608127
220,simsshawn,*1sX1.?&1#EBqeyn,random,16,16.0
221,sextonnicholas,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
222,mooreoscar,kEP@g+\wa$3PS#9>,random,16,15.477121269196143
223,gmorris,CyberDefense#2026,strong,17,12.72541311582026
224,lisa38,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
225,kayala,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
226,michael57,Ba)z3/y)/t&|R?8c,random,16,16.0
227,tcompton,qwerty123,weak,9,2.342422680822206
228,stephanienorton,PurpleTiger!482,strong,15,9.839100782707153
229,zpage,PurpleTiger!482,strong,15,9.839100782707153
230,henrykenneth,Coffee#99,medium,9,5.7795964912578235
231,rgreen,"~c+a_cgpG[e#""LxI",random,16,15.67024586235392
232,troy70,Mountain-River-Sky-92,strong,21,14.635330912608127
233,joseph79,password123,weak,11,2.775246259740236
234,shermanstephanie,football2025,weak,12,5.352825441221973
235,sampsondavid,password123,weak,11,2.775246259740236
236,murphyshelia,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
237,ashley76,CyberDefense#2026,strong,17,12.72541311582026
238,mark23,PurpleTiger!482,strong,15,9.839100782707153
239,petercervantes,z`h.RM8`oA:tI>{W,random,16,16.0
240,allison96,"XHI4""$n|[rhR10:E",random,16,16.0
241,rebekah04,admin123,weak,8,3.8599784416420206
242,kaylaadkins,i\<iV|R._5l?Bj'B,random,16,16.0
243,julie27,Mountain-River-Sky-92,strong,21,14.635330912608127
244,vhoward,"4[cj{))8<K""9dQB)",random,16,16.0
245,hcarroll,"cbTEyZ]J,AgDF8,,",random,16,16.0
246,joseph86,CyberDefense#2026,strong,17,12.72541311582026
247,bryan84,Mountain-River-Sky-92,strong,21,14.635330912608127
248,tara51,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
249,paulsusan,d<N^rP}em!SV9{rA,random,16,16.0
250,princemichael,123456,weak,6,0.30102999566398114
251,tannerkelly,password123,weak,11,2.775246259740236
252,ebowen,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
253,michael69,correct-horse-battery-staple,passphrase,28,20.330032012866745
254,poolerachel,Bhutan@123,medium,10,8.153364183393595
255,kennethlopez,V3c^+/'nHIejy[o9,random,16,16.0
256,troy28,_%w:^p:EM'9Zo.=7,random,16,16.0
257,ggould,admin123,weak,8,3.8599784416420206
258,nataliecohen,qwerty123,weak,9,2.342422680822206
259,ufowler,CyberDefense#2026,strong,17,12.72541311582026
260,carrillonatasha,Denyel2005!,medium,11,9.531478917042254
261,campbellalexander,Coffee#99,medium,9,5.7795964912578235
262,shirleyaguirre,"1+]/L[xb"":o].d$1",random,16,16.0
263,ihall,PurpleTiger!482,strong,15,9.839100782707153
264,larryrichmond,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
265,fredericklamb,password123,weak,11,2.775246259740236
266,soliskevin,Mountain-River-Sky-92,strong,21,14.635330912608127
267,zestrada,PurpleTiger!482,strong,15,9.839100782707153
268,joanne61,correct-horse-battery-staple,passphrase,28,20.330032012866745
269,hensonrichard,football2025,weak,12,5.352825441221973
270,taylorstephanie,PurpleTiger!482,strong,15,9.839100782707153
271,ashleebutler,CyberDefense#2026,strong,17,12.72541311582026
272,qvasquez,123456,weak,6,0.30102999566398114
273,robert86,football2025,weak,12,5.352825441221973
274,brandon08,Mountain-River-Sky-92,strong,21,14.635330912608127
275,xhughes,CyberDefense#2026,strong,17,12.72541311582026
276,fordjoel,Bhutan@123,medium,10,8.153364183393595
277,joseph14,5=2a[_MuMCz98<mE,random,16,16.0
278,snunez,"{,(""G8\^L[p\$u.e",random,16,16.0
279,phillip02,~1l[2t|#fYr).p($,random,16,16.0
280,allenconley,Coffee#99,medium,9,5.7795964912578235
281,candace75,vS:q(d]'6.QBv~Ez,random,16,16.0
282,garciawilliam,football2025,weak,12,5.352825441221973
283,sanfordedward,aw%T<~p/oD%f@7u+,random,16,16.0
284,mrobertson,;m[FMoMYl_l$O-pt,random,16,16.0
285,pamsmith,q)SOiF?8I`rSyX}m,random,16,16.0
286,datkins,Bhutan@123,medium,10,8.153364183393595
287,yjackson,football2025,weak,12,5.352825441221973
288,johnmcmillan,{(;$}#qECAPVjP}:,random,16,15.971275853378001
289,chrisgoodman,Bhutan@123,medium,10,8.153364183393595
290,mcclainjulia,correct-horse-battery-staple,passphrase,28,20.330032012866745
291,gregoryaguirre,Coffee#99,medium,9,5.7795964912578235
292,mark77,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
293,kristinaharris,correct-horse-battery-staple,passphrase,28,20.330032012866745
294,tricia34,PurpleTiger!482,strong,15,9.839100782707153
295,wilsonmichelle,Bhutan@123,medium,10,8.153364183393595
296,jessicaalvarado,Denyel2005!,medium,11,9.531478917042254
297,beckeramy,Coffee#99,medium,9,5.7795964912578235
298,kelli93,CyberDefense#2026,strong,17,12.72541311582026
299,jonconrad,PurpleTiger!482,strong,15,9.839100782707153
300,james36,X^N#)H}fnfO~Ev(\,random,16,16.0
301,tom63,Coffee#99,medium,9,5.7795964912578235
302,wheelerphillip,Denyel2005!,medium,11,9.531478917042254
303,joshua94,Mountain-River-Sky-92,strong,21,14.635330912608127
304,richardhudson,B9Z[jyN4>f5{2YVi,random,16,16.0
305,acostamatthew,admin123,weak,8,3.8599784416420206
306,idaugherty,Mountain-River-Sky-92,strong,21,14.635330912608127
307,brianmarquez,correct-horse-battery-staple,passphrase,28,20.330032012866745
308,marywilliams,Mountain-River-Sky-92,strong,21,14.635330912608127
309,elizabeth50,football2025,weak,12,5.352825441221973
310,woodtony,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
311,weberdenise,correct-horse-battery-staple,passphrase,28,20.330032012866745
312,teresa71,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
313,stacy47,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
314,feliciasmith,Denyel2005!,medium,11,9.531478917042254
315,gentryadam,tE{Wjgx;-B}>rvt-,random,16,16.0
316,moyerapril,Mountain-River-Sky-92,strong,21,14.635330912608127
317,cgamble,Mountain-River-Sky-92,strong,21,14.635330912608127
318,laurasuarez,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
319,wilcoxroberta,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
320,alexandergordon,*YNZhrEg(WXbc_`~,random,16,16.0
321,fosterdavid,9yCZ@6p[>(p'\Mrr,random,16,16.0
322,kimberlyboone,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
323,christopher51,yj4^>e0}gP`Zuue1,random,16,16.0
324,salvarado,CyberDefense#2026,strong,17,12.72541311582026
325,vincentstone,Denyel2005!,medium,11,9.531478917042254
326,austin66,CyberDefense#2026,strong,17,12.72541311582026
327,kyle51,correct-horse-battery-staple,passphrase,28,20.330032012866745
328,kendrahernandez,\a+pe4Y3Mn|4z@'*,random,16,16.0
329,mwilson,123456,weak,6,0.30102999566398114
330,aaronstanton,correct-horse-battery-staple,passphrase,28,20.330032012866745
331,austin17,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
332,joseph12,football2025,weak,12,5.352825441221973
333,lisa75,Bhutan@123,medium,10,8.153364183393595
334,mgreene,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
335,katherine18,football2025,weak,12,5.352825441221973
336,mchapman,Mountain-River-Sky-92,strong,21,14.635330912608127
337,kellywalker,Denyel2005!,medium,11,9.531478917042254
338,harrisonjonathon,Coffee#99,medium,9,5.7795964912578235
339,joseph04,Denyel2005!,medium,11,9.531478917042254
340,jasonjohnson,L|R@bh~9$f:.sQwh,random,16,16.0
341,dwayne08,=]YQ\_TCU(l!LN73,random,16,16.0
342,angelicaoconnor,Coffee#99,medium,9,5.7795964912578235
343,frankgarza,/e;@X7\;$=t;9l^i,random,16,16.0
344,amymendez,Coffee#99,medium,9,5.7795964912578235
345,karenrivera,correct-horse-battery-staple,passphrase,28,20.330032012866745
346,courtneyavila,Coffee#99,medium,9,5.7795964912578235
347,mellis,password,weak,8,0.47712125471966244
348,farleyjacob,l7bYV/v.+=M>qPI:,random,16,16.0
349,wthornton,Bhutan@123,medium,10,8.153364183393595
350,amber85,correct-horse-battery-staple,passphrase,28,20.330032012866745
351,jaimeanderson,Denyel2005!,medium,11,9.531478917042254
352,ipayne,password,weak,8,0.47712125471966244
353,carlwolfe,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
354,ricardo18,Denyel2005!,medium,11,9.531478917042254
355,lhess,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
356,wigginsjennifer,oHO~CC*3+kax6>`U,random,16,16.0
357,buckanthony,123456,weak,6,0.30102999566398114
358,rhester,Denyel2005!,medium,11,9.531478917042254
359,cbarr,t<*x{xhXphe;#gx9,random,16,16.0
360,kimberlyjones,Mountain-River-Sky-92,strong,21,14.635330912608127
361,heather63,password,weak,8,0.47712125471966244
362,thompsongary,correct-horse-battery-staple,passphrase,28,20.330032012866745
363,michaelclark,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
364,xedwards,admin123,weak,8,3.8599784416420206
365,shawnfranklin,;!Y7Kmd3mcRLcXz4,random,16,16.0
366,matachristopher,"&_#r|YA>_""N0+$KG",random,16,15.885361225686387
367,danielramirez,Summer2026!,medium,11,7.441066406639263
368,hunterrenee,football2025,weak,12,5.352825441221973
369,nlambert,Summer2026!,medium,11,7.441066406639263
370,byrdevan,correct-horse-battery-staple,passphrase,28,20.330032012866745
371,chenjulie,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
372,robert35,password123,weak,11,2.775246259740236
373,garrettwayne,Summer2026!,medium,11,7.441066406639263
374,heather65,qwerty123,weak,9,2.342422680822206
375,tpalmer,PurpleTiger!482,strong,15,9.839100782707153
376,jamesholmes,Denyel2005!,medium,11,9.531478917042254
377,gibsonlogan,CyberDefense#2026,strong,17,12.72541311582026
378,bstevenson,Mountain-River-Sky-92,strong,21,14.635330912608127
379,moorebarbara,football2025,weak,12,5.352825441221973
380,gregory19,Summer2026!,medium,11,7.441066406639263
381,melissajohnson,PurpleTiger!482,strong,15,9.839100782707153
382,cwilliams,"xn<""eSYZw5'u:b)+",random,16,16.0
383,tcampbell,PurpleTiger!482,strong,15,9.839100782707153
384,angela32,Mountain-River-Sky-92,strong,21,14.635330912608127
385,russellamy,PurpleTiger!482,strong,15,9.839100782707153
386,ufrench,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
387,michelle70,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
388,jeremy68,CyberDefense#2026,strong,17,12.72541311582026
389,roger11,CyberDefense#2026,strong,17,12.72541311582026
390,turnertaylor,Denyel2005!,medium,11,9.531478917042254
391,mossmatthew,CyberDefense#2026,strong,17,12.72541311582026
392,lindsey23,correct-horse-battery-staple,passphrase,28,20.330032012866745
393,daisy17,Summer2026!,medium,11,7.441066406639263
394,jonathan26,Coffee#99,medium,9,5.7795964912578235
395,lauren68,{0Z_\-WT/N)DqhbC,random,16,16.0
396,richard52,-P<F:<~<'SGTOaAJ,random,16,16.0
397,masoncarl,Summer2026!,medium,11,7.441066406639263
398,patelroy,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
399,ekelly,PurpleTiger!482,strong,15,9.839100782707153
400,ethompson,f[bU|xxz5Y-tKYg9,random,16,16.0
401,james44,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
402,rnichols,password123,weak,11,2.775246259740236
403,moorekenneth,PurpleTiger!482,strong,15,9.839100782707153
404,aaronpayne,AgH/Rl6@aIcvBzc',random,16,16.0
405,brandonrogers,Coffee#99,medium,9,5.7795964912578235
406,nicolebrown,correct-horse-battery-staple,passphrase,28,20.330032012866745
407,kristenfisher,Bhutan@123,medium,10,8.153364183393595
408,brandondominguez,PurpleTiger!482,strong,15,9.839100782707153
409,jonesbrandi,CyberDefense#2026,strong,17,12.72541311582026
410,sarahgray,correct-horse-battery-staple,passphrase,28,20.330032012866745
411,felicia59,CyberDefense#2026,strong,17,12.72541311582026
412,fthomas,password,weak,8,0.47712125471966244
413,rachelhampton,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
414,tramsey,PurpleTiger!482,strong,15,9.839100782707153
415,kathrynabbott,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
416,manuel12,correct-horse-battery-staple,passphrase,28,20.330032012866745
417,grantjeffery,password,weak,8,0.47712125471966244
418,robert62,"""UdJ8H;SP\KS_k^U",random,16,16.0
419,wesleycraig,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
420,carolyn01,Coffee#99,medium,9,5.7795964912578235
421,rita93,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
422,vgalvan,password123,weak,11,2.775246259740236
423,deborahbrown,7HgvQl/L`'?)\Gvd,random,16,16.0
424,vchavez,admin123,weak,8,3.8599784416420206
425,bdawson,u*XVR%E?kXy%WbZV,random,16,16.0
426,srussell,football2025,weak,12,5.352825441221973
427,wilsonscott,gL{_R!]`HM+u}KL0,random,16,16.0
428,samanthariley,CyberDefense#2026,strong,17,12.72541311582026
429,sandramills,PUSL(^>nBrVS]dwG,random,16,16.0
430,masonstephanie,admin123,weak,8,3.8599784416420206
431,imeyer,Coffee#99,medium,9,5.7795964912578235
432,thomastyrone,Coffee#99,medium,9,5.7795964912578235
433,jamesmunoz,Summer2026!,medium,11,7.441066406639263
434,torresdavid,PurpleTiger!482,strong,15,9.839100782707153
435,sharonkirk,Summer2026!,medium,11,7.441066406639263
436,josephbradshaw,the-moon-shines-over-bhutan,passphrase,27,22.93264878214798
437,james30,admin123,weak,8,3.8599784416420206
438,fmcgee,correct-horse-battery-staple,passphrase,28,20.330032012866745
439,nbaker,>D.;=EqpPc/pgQ<L,random,16,16.0
440,laurenfoster,football2025,weak,12,5.352825441221973
441,brianna06,Mountain-River-Sky-92,strong,21,14.635330912608127
442,christopher92,football2025,weak,12,5.352825441221973
443,julian59,Summer2026!,medium,11,7.441066406639263
444,amyward,coffee-mountains-rain-forest,passphrase,28,17.02900042670668
445,deleonjennifer,Denyel2005!,medium,11,9.531478917042254
446,lmcdaniel,football2025,weak,12,5.352825441221973
447,michelle03,Bhutan@123,medium,10,8.153364183393595
448,hmiller,Mountain-River-Sky-92,strong,21,14.635330912608127
449,williamhicks,Mountain-River-Sky-92,strong,21,14.635330912608127
